Company Name,First Name,Last Name,Phone,Mobile Phone,Email,Website,Address,City,State,Zip
Brielles Rug Cleaning NYC,,,16467269245,,info@briellesrugcleaning.com,http://www.briellesrugcleaning.com/rug-cleaning-lower-manhattan-nyc/,25 N Moore St,New York,NY,10013
A to Z Carpet Cleaning,,,16469709668,,carpetcleannewyork@gmail.com,http://a2z-carpetclean.com/,113 Chambers St,New York,NY,10013
New York City Carpet Cleaners,,,16468464545,,info@lioxclean.com,https://www.lioxclean.com/,287 Bleecker St #25,New York,NY,10014
212 Rug Cleaners,,,18003858288,,212rugcleaners@gmail.com,http://www.212rugcleaners.com/,244 5th Ave e234,New York,NY,10001
New York Carpet,,,18006188508,,flatratecs@gmail.com,http://www.ny-carpet.com/,97 Warren St,New York,NY,10007
abc rug & carpet cleaning service,,,19179051560,,info@abchomecare.com,https://www.abchomecare.com/,888 Broadway 2nd Floor,New York,NY,10003
Bayard Carpet Cleaners,,,19173821801,,gmoriss1988@gmail.com,https://sohorugcleaners.us/,60 Bayard St,New York,NY,10013
NYC Rug Cleaning and Restoration Services 10013,,,16466991999,,office@bahmanrugandcarpetcleaning10013.com,http://bahmanrugandcarpetcleaning10013.com/,210 Mercer St,New York,NY,10013
MN Carpet Cleaning Services LLC,,,16468492694,,fastgreencarpetclean@gmail.com,https://www.local.fastgreencarpetclean.com/,133 Greenwich St,New York,NY,10006
Royal Carpet and Rug Cleaning NY,,,12127854444,,royalcarpetny@gmail.com,http://www.royalcarpetandrugcleaning.com/,151 W 27th St,New York,NY,10001
Steam Pro NYC Carpet Rug and Upholstery Cleaning,,,10605490660,,robert@carpetcleaningnewyork.com,https://carpetcleaningnewyork.com/,397 3rd Ave,New York,NY,10016
NN Carpet Cleaning Services LLC.,,,13322663876,,day.info@townhousecleaning.com,http://www.townhousecleaning.com/,1 Hanover Square,New York,NY,10004
Pearl Carpet Cleaners,,,16469330540,,organicrugcleanersnyc@gmail.com,http://organicrugcleaners-nyc.com/,74 Pearl St,New York,NY,10004
Delancey Carpet Cleaners,,,13474705628,,info@agcleanings.com,http://agcleanings.com/,80 Delancey St # 901,New York,NY,10002
Mint Carpet Cleaning,,,12122958086,,info@nyccarpetcleaningservices.net,http://nyccarpetcleaningservices.net/,90 Washington St #24C,New York,NY,10006
NYC Steam Cleaning,,,18882451199,,digitalrankforce@gmail.com,https://nycsteamcleaning.com/,167 Madison Ave suite 300,New York,NY,10016
carpet cleaning battery park ny,,,16463297292,,ask@nycwindowcleaners.com,http://nycwindowcleaners.com/,32 Pearl St,New York,NY,10004
